Genotype,replicate,W1,W3,W5,W8,W10,W12,W15,W17,W19,ShootWeightG,rootWeightG,leafNumber
B284,10,0.268,0.319,0.45,0.682,0.919,1.189,1.604,1.891,1.664,1.062,0.602,5
B284,11,0.207,0.271,0.274,0.45,0.649,0.87,1.238,1.471,1.59,0.992,0.598,5
B284,12,0.194,0.244,0.337,0.456,0.626,0.877,1.22,1.486,1.506,0.962,0.544,5
B284,13,0.213,0.265,0.356,0.489,0.658,0.898,1.24,1.477,1.431,0.925,0.506,5
B284,14,0.217,0.263,0.338,0.491,0.706,0.941,1.29,1.524,1.733,1.078,0.655,7
B284,15,0.239,0.285,0.355,0.5,0.7,0.978,1.283,1.523,1.081,0.73,0.351,5
B284,16,0.25,0.308,0.36,0.636,0.886,1.157,1.545,1.732,1.44,0.884,0.556,6
B284,17,0.225,0.29,0.32,0.488,0.644,0.878,1.247,1.601,1.751,1.073,0.678,6
B284,18,0.184,0.226,0.263,0.422,0.578,0.765,1.112,1.396,1.401,0.907,0.494,7
B284,19,0.215,0.288,0.358,0.65,0.871,1.21,1.581,1.875,1.399,0.879,0.52,6
B284,20,0.202,0.254,0.326,0.481,0.665,0.893,1.193,1.494,1.395,0.926,0.469,6
