EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
0E,Bow,8,0%,4C,1,Hg50,,0.6,0.362,0.238,,,,,,,,,,13.5,62.0045,22.5928,1.1598,0.655,879,0
1E,Ant,3,0%,4°C,1,Hg50,0.338,0.638,0.426,0.212,0.3,0.0701,0.0531,0.017,0.5679,0.3729,0.195,0.320150659,0.522928399,7.67,102.1879,20.5172,0.6391,0.328,881,0.039130435
1E,Ant,1,0%,4°C,1,Hg50,0.283,0.537,0.39,0.147,0.254,0.11326,0.0419,0.07136,0.42374,0.3481,0.07564,1.703102625,0.217293881,5.67,68.8544,17.065,0.7889,0.337,889,0.044823529
1E,Bow,4,15%,4°C,1,Hg50,0.394,0.44,0.34,0.1,0.046,0.0625,0.0495,0.013,0.3775,0.2905,0.087,0.262626263,0.299483649,6.67,101.1769,17.0654,0.5369,0.229,893,0.0069
1E,Ant,1,15%,4°C,1,Hg50,0.387,0.438,0.305,0.133,0.051,0.0569,0.0406,0.0163,0.3811,0.2644,0.1167,0.401477833,0.441376702,4.67,82.6492,17.5114,0.6744,0.295,911,0.010928571
0E,Bow,3,0%,4C,1,Hg50,,0.736,0.446,0.29,,,,,,,,,,8.5,81.3907,24.988,0.9773,0.61,911,0
3E,B289,4,15%,4°C,3,Hg50,0.481,0.635,0.403,0.232,0.154,0.0831,0.0647,0.0184,0.5519,0.3383,0.2136,0.28438949,0.631392255,6.67,90.003,22.1454,0.7832,0.434,912,0.0231
3E,Bow,2,15%,4°C,3,Hg50,0.799,1.118,0.7,0.418,0.319,0.1269,0.0902,0.0367,0.9911,0.6098,0.3813,0.406873614,0.625286979,10.67,53.7846,31.9588,1.8914,1.511,923,0.02990625
0E,Ant,9,0%,4C,1,Hg50,,0.445,0.271,0.174,,,,,,,,,,9.5,81.3626,17.5945,0.6883,0.303,930,0
1E,B289,1,0%,4°C,1,Hg50,0.41,0.76,0.494,0.266,0.35,0.0687,0.0538,0.0149,0.6913,0.4402,0.2511,0.276951673,0.570422535,10.67,57.3251,26.773,1.4866,0.995,934,0.0328125
