EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
2E,Bow,5,0%,18°C,3,Hg50,0.223,0.528,0.382,0.146,0.305,0.0555,0.039,0.0165,0.4725,0.343,0.1295,0.423076923,0.37755102,10.33,56.2089,15.3192,0.8675,0.332,282,0.029516129
2E,B289,1,0%,18°C,3,Hg50,0.247,0.607,0.458,0.149,0.36,0.0643,0.0417,0.0226,0.5427,0.4163,0.1264,0.541966427,0.303627192,48.33,83.2326,20.6264,0.7888,0.407,440,0.007448276
3E,B285,1,0%,18°C,1,Hg50,0.293,0.54,0.39,0.15,0.247,0.0482,0.0383,0.0099,0.4918,0.3517,0.1401,0.25848564,0.398350867,8.67,31.809,7.1419,0.7147,0.128,224,0.0285
1E,B289,2,0%,18°C,3,Hg50,0.391,0.797,0.602,0.195,0.406,0.0709,0.0526,0.0183,0.7261,0.5494,0.1767,0.347908745,0.321623589,20.00,116.8724,22.6765,0.6176,0.35,747,0.0203
2E,B285,1,0%,18°C,3,Hg50,0.4,0.998,0.675,0.323,0.598,0.0825,0.0605,0.022,0.9155,0.6145,0.301,0.363636364,0.489829129,17.33,46.499,25.0294,1.7134,1.072,893,0.0345
1E,Ant,1,0%,18°C,3,Hg50,0.436,0.965,0.649,0.316,0.529,0.6545,0.631,0.0235,0.3105,0.018,0.2925,0.037242472,16.25,19.00,91.9424,38.6285,1.3373,1.291,1572,0.027842105
3E,Ant,1,0%,18°C,1,Hg50,0.454,0.91,0.615,0.295,0.456,,0.602,,,0.013,,,,17.67,,,,,,0.025811321
2E,Ant,5,0%,18°C,3,Hg50,0.456,0.998,0.667,0.331,0.542,0.0874,0.0624,0.025,0.9106,0.6046,0.306,0.400641026,,19.33,74.5623,33.0452,1.4107,1.165,1315,0.028034483
1E,Bow,2,0%,18°C,3,Hg50,0.471,0.997,0.712,0.285,0.526,0.0817,0.0606,0.0211,0.9153,0.6514,0.2639,0.348184818,0.405127418,21.00,69.221,30.9682,1.4241,1.103,865,0.025047619
2E,Ant,3,0%,18°C,3,Hg50,0.478,1.011,0.67,0.341,0.533,0.0934,0.0655,0.0279,0.9176,0.6045,0.3131,0.425954198,0.517948718,21.33,41.64,34.0705,2.6045,2.218,1134,0.024984375
3E,Ant,5,0%,18°C,1,Hg50,0.487,1.277,0.822,0.455,0.79,0.1272,0.0917,0.0355,1.1498,0.7303,0.4195,0.387131952,0.574421471,28.67,,,,,,0.02755814
2E,B289,3,0%,18°C,3,Hg50,0.497,1.121,0.863,0.258,0.624,0.0894,0.0657,0.0237,1.0316,0.7973,0.2343,0.360730594,0.2938668,31.33,104.274,23.8297,0.7274,0.433,345,0.019914894
1E,B290,5,0%,18°C,3,Hg50,0.503,1.266,0.96,0.306,0.763,0.0495,0.0331,0.0164,1.2165,0.9269,0.2896,0.495468278,0.312439314,26.00,334.1393,50.1996,0.4782,0.6,1431,0.029346154
2E,Ant,2,0%,18°C,3,Hg50,0.528,1.44,0.936,0.504,0.912,0.1137,0.0819,0.0318,1.3263,0.8541,0.4722,0.388278388,0.552862662,24.33,189.8516,61.4332,1.03,1.582,3377,0.037479452
3E,B284,3,0%,18°C,1,Hg50,0.53,1.183,0.8,0.383,0.653,0.109,0.0244,0.0846,1.074,0.7756,0.2984,3.467213115,0.384734399,22.67,116.9664,35.7793,0.9737,0.871,1845,0.028808824
3E,B290,1,0%,18°C,1,Hg50,0.532,1.04,0.73,0.31,0.508,0.0801,0.0637,0.0164,0.9599,0.6663,0.2936,0.257456829,0.440642353,21.67,257.0513,44.0543,0.5455,0.601,1534,0.023446154
3E,B284,1,0%,18°C,1,Hg50,0.534,1.14,0.817,0.323,0.606,0.1036,0.0777,0.0259,1.0364,0.7393,0.2971,0.333333333,0.401866631,21.67,148.9534,41.7128,0.8914,0.93,2165,0.027969231
2E,B285,3,0%,18°C,3,Hg50,0.537,1.37,0.887,0.483,0.833,0.1064,0.0819,0.0245,1.2636,0.8051,0.4585,0.299145299,0.569494473,24.33,81.6991,42.5064,1.6561,1.76,1305,0.034232877
2E,B285,4,0%,18°C,3,Hg50,0.548,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,B285,4,0%,18°C,3,Hg50,0.548,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,Ant,1,0%,18°C,3,Hg50,0.549,1.353,0.943,0.41,0.804,0.115,0.0797,0.0353,1.238,0.8633,0.3747,0.442910916,0.434032202,25.33,98.2863,43.0371,1.3938,1.5,1837,0.031736842
1E,Ant,2,0%,18°C,3,Hg50,0.55,1.278,0.886,0.392,0.728,0.1169,0.0913,0.0256,1.1611,0.7947,0.3664,0.280394304,0.461054486,23.00,140.368,43.6749,0.9904,1.081,2070,0.031652174
2E,Bow,4,0%,18°C,3,Hg50,0.553,1.296,0.818,0.478,0.743,0.1035,0.0671,0.0364,1.1925,0.7509,0.4416,0.54247392,0.588094287,22.33,68.0557,45.4873,2.1275,2.419,1484,0.033268657
1E,Ant,4,0%,18°C,3,Hg50,0.56,1.195,0.811,0.384,0.635,0.1239,0.0933,0.0306,1.0711,0.7177,0.3534,0.327974277,0.492406298,22.00,58.0316,44.2045,2.4247,2.68,1689,0.028863636
1E,B289,5,0%,18°C,3,Hg50,0.564,1.118,0.836,0.282,0.554,0.0681,0.0403,0.0278,1.0499,0.7957,0.2542,0.689826303,0.319467136,27.00,121.8488,35.4798,0.9269,0.822,1274,0.020518519
2E,B290,5,0%,18°C,3,Hg50,0.57,1.772,1.186,0.586,1.202,0.1385,0.0992,0.0393,1.6335,1.0868,0.5467,0.396169355,0.503036437,1.33,151.447,61.8787,1.3006,2.012,2538,0.9015
2E,Ant,4,0%,18°C,3,Hg50,0.573,1.207,0.803,0.404,0.634,0.1055,0.0742,0.0313,1.1015,0.7288,0.3727,0.421832884,0.511388584,19.33,41.253,52.4026,4.0434,5.297,2189,0.032793103
3E,B289,1,0%,18°C,1,Hg50,0.583,1.28,0.897,0.383,0.697,0.1049,0.0811,0.0238,1.1751,0.8159,0.3592,0.293464858,0.440250031,26.67,208.355,51.4194,0.7855,1.01,2573,0.0261375
2E,B284,1,0%,18°C,3,Hg50,0.594,1.487,0.885,0.602,0.893,0.1328,0.0893,0.0435,1.3542,0.7957,0.5585,0.48712206,0.7018977,27.33,107.0371,58.1793,1.7302,2.516,2343,0.032670732
1E,B285,3,0%,18°C,3,Hg50,0.601,1.102,0.793,0.309,0.501,0.1053,0.085,0.0203,0.9967,0.708,0.2887,0.238823529,0.407768362,23.00,124.2607,32.6806,0.8372,0.684,943,0.021782609
2E,Bow,1,0%,18°C,3,Hg50,0.611,1.539,0.967,0.572,0.928,0.1212,0.0861,0.0351,1.4178,0.8809,0.5369,0.407665505,0.609490294,28.33,130.5434,51.739,1.2616,1.632,2051,0.032752941
1E,Ant,3,0%,18°C,3,Hg50,0.615,1.443,0.963,0.48,0.828,0.1289,0.0939,0.035,1.3141,0.8691,0.445,0.372736954,0.512023933,29.00,53.1783,47.9611,2.8708,3.442,1457,0.028551724
1E,B289,3,0%,18°C,3,Hg50,0.616,1.37,0.912,0.458,0.754,0.0979,0.0668,0.0311,1.2721,0.8452,0.4269,0.465568862,0.505087553,31.00,110.6145,45.0844,1.2974,1.462,1143,0.024322581
3E,B285,3,0%,18°C,1,Hg50,0.643,1.523,1.039,0.484,0.88,0.1363,0.1038,0.0325,1.3867,0.9352,0.4515,0.313102119,0.482784431,27.67,71.7226,20.3357,0.9025,0.459,642,0.031807229
1E,B284,3,0%,18°C,3,Hg50,0.647,1.47,1.098,0.372,0.823,0.1317,0.1039,0.0278,1.3383,0.9941,0.3442,0.267564966,0.346242833,32.00,254.0577,51.5529,0.6459,0.832,2159,0.02571875
1E,B284,4,0%,18°C,3,Hg50,0.651,,,,,,,,,,,,,,,,,,,#DIV/0!
1E,B289,1,0%,18°C,3,Hg50,0.661,1.341,0.908,0.433,0.68,0.0811,0.0549,0.0262,1.2599,0.8531,0.4068,0.47723133,0.476849138,31.00,273.3504,50.9731,0.5936,0.756,1810,0.021935484
2E,B284,3,0%,18°C,3,Hg50,0.667,1.431,1.037,0.394,0.764,0.127,0.0968,0.0302,1.304,0.9402,0.3638,0.311983471,0.386938949,23.33,80.2206,42.1186,1.6712,1.76,1565,0.032742857
3E,B285,2,0%,18°C,1,Hg50,0.69,1.38,1.03,0.35,0.69,0.1263,0.1018,0.0245,1.2537,0.9282,0.3255,0.240667976,0.350678733,25.67,63.9647,20.9903,1.0446,0.548,914,0.026883117
3E,Ant,2,0%,18°C,1,Hg50,0.69,1.45,0.977,0.473,0.76,,0.0976,,,0.8794,,,,27.67,,,,,,0.02746988
3E,B289,2,0%,18°C,1,Hg50,0.699,1.522,1.06,0.462,0.823,0.1344,0.1049,0.0295,1.3876,0.9551,0.4325,0.28122021,0.452832164,29.67,197.0316,57.9617,0.9364,1.357,2995,0.027741573
3E,B289,5,0%,18°C,1,Hg50,0.701,1.657,1.137,0.52,0.956,0.149,0.1171,0.0319,1.508,1.0199,0.4881,0.272416738,0.478576331,35.67,273.1391,60.4729,0.7047,1.065,2394,0.026803738
3E,B284,5,0%,18°C,1,Hg50,0.714,1.67,1.14,0.53,0.956,0.1691,0.129,0.0401,1.5009,1.011,0.4899,0.310852713,0.484569733,29.67,110.1775,46.8915,1.3547,1.588,1906,0.032224719
2E,B284,4,0%,18°C,3,Hg50,0.714,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,B285,2,0%,18°C,3,Hg50,0.717,0.996,0.708,0.288,0.279,0.0915,0.0715,0.02,0.9045,0.6365,0.268,0.27972028,0.421052632,14.33,56.4423,29.9075,1.6867,1.261,1077,0.019465116
2E,B284,2,0%,18°C,3,Hg50,0.724,1.649,1.114,0.535,0.925,0.1473,0.1069,0.0404,1.5017,1.0071,0.4946,0.377923293,0.491113097,26.33,99.5954,53.283,1.7029,2.268,2222,0.035126582
1E,B285,1,0%,18°C,3,Hg50,0.729,1.406,1.04,0.366,0.677,0.1286,0.1026,0.026,1.2774,0.9374,0.34,0.253411306,0.362705355,28.00,188.981,51.1912,0.8622,1.103,1628,0.024178571
4E,Ant,2,0%,18°C,1,Hg50,0.734,1.443,0.934,0.509,0.709,0.1576,0.1077,0.0499,1.2854,0.8263,0.4591,0.463324048,0.555609343,26.00,121.11,49.4041,1.2985,1.604,1955,0.027269231
2E,B290,3,0%,18°C,3,Hg50,0.736,1.536,1.065,0.471,0.8,0.1124,0.0782,0.0342,1.4236,0.9868,0.4368,0.437340153,0.442642886,27.33,103.8592,50.0177,1.533,1.917,2239,0.029268293
2E,B290,2,0%,18°C,3,Hg50,0.738,1.42,0.95,0.47,0.682,0.112,0.08,0.032,1.308,0.87,0.438,0.4,0.503448276,27.33,124.5746,51.8804,1.3256,1.719,2458,0.02495122
1E,Ant,5,0%,18°C,3,Hg50,0.739,2.157,1.46,0.697,1.418,0.2101,0.1573,0.0528,1.9469,1.3027,0.6442,0.335664336,0.494511399,46.00,247.1747,77.5676,0.9989,1.937,3045,0.030826087
1E,B285,4,0%,18°C,3,Hg50,0.749,,,,,,,,,,,,,,,,,,,#DIV/0!
1E,B284,2,0%,18°C,3,Hg50,0.762,1.65,1.123,0.527,0.888,0.1488,0.1123,0.0365,1.5012,1.0107,0.4905,0.325022262,0.485307213,31.00,117.7256,50.9704,1.3782,1.756,1246,0.028645161
4E,B285,5,0%,18°C,1,Hg50,0.771,1.737,1.026,0.711,0.966,0.1547,0.1111,0.0436,1.5823,0.9149,0.6674,0.392439244,0.729478632,29.00,148.1963,61.1704,1.3139,2.009,2876,0.033310345
2E,B290,4,0%,18°C,3,Hg50,0.778,1.541,1.095,0.446,0.763,0.1118,0.0808,0.031,1.4292,1.0142,0.415,0.383663366,0.409189509,29.33,170.4425,51.5609,0.9629,1.241,2000,0.026011364
2E,Bow,2,0%,18°C,3,Hg50,0.782,1.759,1.286,0.473,0.977,0.1226,0.0893,0.0333,1.6364,1.1967,0.4397,0.372900336,0.367427091,33.33,137.8474,51.8187,1.1966,1.55,2168,0.02931
1E,B290,4,0%,18°C,3,Hg50,0.788,0.974,0.72,0.254,0.186,0.0985,0.0816,0.0169,0.8755,0.6384,0.2371,0.207107843,0.371397243,13.00,231.6493,36.4065,0.5003,0.455,1706,0.014307692
1E,Bow,4,0%,18°C,3,Hg50,0.791,1.59,1.222,0.368,0.799,0.1323,0.1056,0.0267,1.4577,1.1164,0.3413,0.252840909,0.305714798,34.00,245.5924,59.3075,0.7687,1.14,2230,0.0235
3E,B289,3,0%,18°C,1,Hg50,0.795,1.79,1.212,0.578,0.995,0.1575,0.1255,0.032,1.6325,1.0865,0.546,0.25498008,0.502531063,35.67,190.7901,60.9665,1.0172,1.55,2515,0.027897196
4E,Ant,5,0%,18°C,1,Hg50,0.83,1.72,1.13,0.59,0.89,0.1162,0.0629,0.0533,1.6038,1.0671,0.5367,0.847376789,0.502951926,28.00,64.5272,49.4892,2.4413,3.02,1483,0.031785714
1E,Bow,5,0%,18°C,3,Hg50,0.838,1.8,1.188,0.612,0.962,0.1181,0.1021,0.016,1.6819,1.0859,0.596,0.156709109,0.548853486,32.00,324.9092,76.5921,0.7504,1.437,2953,0.0300625
1E,Bow,3,0%,18°C,3,Hg50,0.843,1.713,1.23,0.483,0.87,0.1319,0.104,0.0279,1.5811,1.126,0.4551,0.268269231,0.404174067,30.00,151.1389,42.0725,0.8861,0.932,1569,0.029
2E,Bow,3,0%,18°C,3,Hg50,0.843,1.95,1.24,0.71,1.107,0.1495,0.1039,0.0456,1.8005,1.1361,0.6644,0.438883542,0.584807675,31.33,195.3694,80.3353,1.3089,2.629,3574,0.035329787
3E,Bow,4,0%,18°C,1,Hg50,0.846,2.11,1.277,0.833,1.264,0.1723,0.1215,0.0508,1.9377,1.1555,0.7822,0.418106996,0.676936391,39.67,419.1707,99.9173,0.7588,1.895,4783,0.031865546
3E,Ant,3,0%,18°C,1,Hg50,0.848,1.72,1.224,0.496,0.872,0.1794,0.1363,0.0431,1.5406,1.0877,0.4529,0.316214233,0.416383194,33.67,,,,,,0.02590099
1E,B290,3,0%,18°C,3,Hg50,0.855,1.522,1.113,0.409,0.667,0.1012,0.078,0.0232,1.4208,1.035,0.3858,0.297435897,0.372753623,31.00,265.7186,48.6948,0.5833,0.71,1810,0.021516129
1E,B284,5,0%,18°C,3,Hg50,0.855,,,,,,,,,,,,,,,,,,,#DIV/0!
3E,B285,4,0%,18°C,1,Hg50,0.875,1.55,1.083,0.467,0.675,0.1513,0.118,0.0333,1.3987,0.965,0.4337,0.28220339,0.449430052,27.67,144.8319,38.3831,0.8436,0.809,1349,0.02439759
4E,B289,3,0%,18°C,1,Hg50,0.878,1.553,1.05,0.503,0.675,0.1788,0.132,0.0468,1.3742,0.918,0.4562,0.354545455,0.496949891,23.00,36.2815,37.4405,3.2848,3.075,1017,0.029347826
1E,B284,1,0%,18°C,3,Hg50,0.881,1.675,1.134,0.541,0.794,0.1452,0.1062,0.039,1.5298,1.0278,0.502,0.367231638,0.488421872,30.00,138.2723,65.3514,1.5044,2.458,2256,0.026466667
2E,B290,1,0%,18°C,3,Hg50,0.889,2.16,1.44,0.72,1.271,0.1742,0.124,0.0502,1.9858,1.316,0.6698,0.40483871,0.508966565,26.33,213.3163,73.21,1.0924,1.999,2991,0.048265823
3E,B290,5,0%,18°C,1,Hg50,0.891,2.46,1.56,0.9,1.569,0.2141,0.1651,0.049,2.2459,1.3949,0.851,0.296789824,0.610079576,48.67,390.4446,84.831,0.6916,1.467,3092,0.032239726
1E,B289,4,0%,18°C,3,Hg50,0.903,1.782,1.247,0.535,0.879,0.0897,0.0491,0.0406,1.6923,1.1979,0.4944,0.82688391,0.412722264,40.00,135.9972,54.5205,1.2761,1.739,1544,0.021975
4E,B285,1,0%,18°C,1,Hg50,0.908,1.699,1.152,0.547,0.791,0.1697,0.1224,0.0473,1.5293,1.0296,0.4997,0.386437908,0.48533411,31.00,42.6494,52.0503,3.8847,5.055,1501,0.025516129
2E,B289,4,0%,18°C,3,Hg50,0.912,1.682,1.214,0.468,0.77,0.1562,0.1086,0.0476,1.5258,1.1054,0.4204,0.438305709,0.380314818,35.33,118.7457,40.3848,1.0826,1.093,366,0.021792453
4E,B285,4,0%,18°C,1,Hg50,0.913,1.845,1.236,0.609,0.932,0.1728,0.1318,0.041,1.6722,1.1042,0.568,0.31107739,0.514399565,33.00,80.6569,56.8454,2.2434,3.188,1790,0.028242424
2E,B285,5,0%,18°C,3,Hg50,0.914,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,B285,5,0%,18°C,3,Hg50,0.914,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,B284,5,0%,18°C,3,Hg50,0.92,,,,,,,,,,,,,,,,,,,#DIV/0!
2E,B284,5,0%,18°C,3,Hg50,0.92,,,,,,,,,,,,,,,,,,,#DIV/0!
4E,B289,5,0%,18°C,1,Hg50,0.928,1.872,1.2,0.672,0.944,0.2034,0.149,0.0544,1.6686,1.051,0.6176,0.365100671,0.587630828,35.00,126.0271,56.9596,1.4386,2.049,2643,0.026971429
4E,Ant,1,0%,18°C,1,Hg50,0.933,1.844,1.203,0.641,0.911,0.1974,0.1344,0.063,1.6466,1.0686,0.578,0.46875,0.540894628,29.00,31.6669,49.6284,4.9886,6.189,1378,0.031413793
1E,B285,5,0%,18°C,3,Hg50,0.936,,,,,,,,,,,,,,,,,,,#DIV/0!
1E,B290,2,0%,18°C,3,Hg50,0.939,1.527,1.111,0.416,0.588,0.0982,0.0768,0.0214,1.4288,1.0342,0.3946,0.278645833,0.381550957,31.00,204.1774,49.4038,0.7702,0.951,2060,0.018967742
2E,B289,5,0%,18°C,3,Hg50,0.966,2.06,1.485,0.575,1.094,0.1668,0.124,0.0428,1.8932,1.361,0.5322,0.34516129,0.391036003,0.33,338.7018,59.2248,0.5566,0.824,583,3.282
3E,B284,2,0%,18°C,1,Hg50,0.973,2.301,1.548,0.753,1.328,0.1896,0.1461,0.0435,2.1114,1.4019,0.7095,0.297741273,0.506098866,39.67,273.2216,78.9134,0.9194,1.814,3192,0.033478992
1E,Bow,1,0%,18°C,3,Hg50,0.974,1.892,1.359,0.533,0.918,0.155,0.1247,0.0303,1.737,1.2343,0.5027,0.24298316,0.407275379,32.00,305.247,61.4291,0.6406,0.984,2680,0.0286875
3E,Bow,1,0%,18°C,1,Hg50,0.976,1.99,1.293,0.697,1.014,0.1549,0.1165,0.0384,1.8351,1.1765,0.6586,0.329613734,0.559796005,31.67,184.2661,70.2104,1.2128,2.129,2909,0.032021053
3E,B285,5,0%,18°C,1,Hg50,0.98,2.365,1.616,0.749,1.385,0.2113,0.1633,0.048,2.1537,1.4527,0.701,0.293937538,0.482549735,42.67,57.677,16.4425,0.9074,0.373,762,0.032460938
1E,B285,2,0%,18°C,3,Hg50,0.984,2.01,0.931,1.079,1.026,0.1783,0.1422,0.0361,1.8317,0.7888,1.0429,0.253867792,1.322134888,37.00,357.9573,69.3284,0.6165,1.069,2792,0.02772973
4E,Bow,2,0%,18°C,1,Hg50,0.99,1.68,1.129,0.551,0.69,0.1759,0.1256,0.0503,1.5041,1.0034,0.5007,0.400477707,0.499003388,26.00,86.3744,36.3619,1.34,1.218,771,0.026538462
1E,B290,1,0%,18°C,3,Hg50,0.99,1.713,1.223,0.49,0.723,0.7616,0.733,0.0286,0.9514,0.49,0.4614,0.039017735,0.941632653,31.00,313.0659,63.0244,0.6408,1.01,2774,0.023322581
4E,B285,3,0%,18°C,1,Hg50,1.005,1.908,1.297,0.611,0.903,0.1682,0.1342,0.034,1.7398,1.1628,0.577,0.253353204,0.49621603,35.00,138.9223,64.5605,1.4793,2.388,2494,0.0258
3E,B289,4,0%,18°C,1,Hg50,1.007,2.24,1.478,0.762,1.233,0.06782,0.01622,0.0516,2.17218,1.46178,0.7104,3.181257707,0.485982843,44.67,435.3281,87.8254,0.6422,1.41,4197,0.027604478
4E,B284,1,0%,18°C,1,Hg50,1.026,1.406,1.015,0.391,0.38,0.162,0.1237,0.0383,1.244,0.8913,0.3527,0.309620049,0.395714125,18.00,154.8874,60.0296,1.2337,1.851,2504,0.021111111
3E,Ant,4,0%,18°C,1,Hg50,1.037,2.25,1.45,0.8,1.213,0.2267,0.1635,0.0632,2.0233,1.2865,0.7368,0.386544343,0.572716673,45.67,,,,,,0.026562044
3E,Bow,3,0%,18°C,1,Hg50,1.05,2.317,1.45,0.867,1.267,,0.1443,,,1.3057,,,,44.67,,,,,,0.028365672
4E,B290,2,0%,18°C,1,Hg50,1.06,1.708,1.052,0.656,0.648,0.181,0.1345,0.0465,1.527,0.9175,0.6095,0.345724907,0.664305177,34.00,106.9501,51.3963,1.5297,1.965,1865,0.019058824
4E,Bow,5,0%,18°C,1,Hg50,1.061,1.795,1.363,0.432,0.734,0.1937,0.1499,0.0438,1.6013,1.2131,0.3882,0.292194797,0.320006595,29.00,69.7166,29.5653,1.3499,0.998,947,0.025310345
4E,Bow,1,0%,18°C,1,Hg50,1.08,2.153,1.252,0.901,1.073,0.2059,0.1355,0.0704,1.9471,1.1165,0.8306,0.519557196,0.74393193,38.00,58.7063,64.6647,3.5062,5.668,1996,0.028236842
4E,Ant,4,0%,18°C,1,Hg50,1.093,2.162,1.426,0.736,1.069,0.2291,0.1596,0.0695,1.9329,1.2664,0.6665,0.435463659,0.526295009,36.00,184.1935,67.7069,1.1701,1.981,2677,0.029694444
4E,B284,2,0%,18°C,1,Hg50,1.178,2.186,1.42,0.766,1.008,0.2306,0.1706,0.06,1.9554,1.2494,0.706,0.351699883,0.565071234,40.00,91.7492,70.0033,2.4287,4.25,2497,0.0252
3E,B284,4,0%,18°C,1,Hg50,1.19,2.487,1.6,0.887,1.297,0.221,0.166,0.055,2.266,1.434,0.832,0.331325301,0.580195258,45.67,197.7587,66.0474,1.0631,1.755,2087,0.02840146
3E,Bow,2,0%,18°C,1,Hg50,1.222,2.3,1.624,0.676,1.078,,0.1516,,,1.4724,,,,37.67,,,,,,0.028619469
4E,B290,1,0%,18°C,1,Hg50,1.26,1.915,1.321,0.594,0.655,0.2189,0.1648,0.0541,1.6961,1.1562,0.5399,0.328276699,0.466960733,37.00,95.0352,47.1754,1.5801,1.864,1435,0.017702703
2E,B289,2,0%,18°C,3,Hg50,1.268,2.353,1.68,0.673,1.085,0.07812,0.01602,0.0621,2.27488,1.66398,0.6109,3.876404494,0.367131816,19.33,384.9226,66.9201,0.5534,0.926,1032,0.05612069
2E,B289,2,0%,18°C,3,Hg50,1.268,2.353,1.68,0.673,1.085,0.07812,0.01602,0.0621,2.27488,1.66398,0.6109,3.876404494,0.367131816,19.33,384.9226,66.9201,0.5534,0.926,1032,0.05612069
4E,Bow,4,0%,18°C,1,Hg50,1.274,2.079,1.291,0.788,0.805,0.2072,0.1358,0.0714,1.8718,1.1552,0.7166,0.525773196,0.620325485,35.00,139.9812,54.6422,1.2425,1.697,1046,0.023
4E,B289,2,0%,18°C,1,Hg50,1.295,2.003,1.394,0.609,0.708,0.2396,0.178,0.0616,1.7634,1.216,0.5474,0.346067416,0.450164474,38.00,49.5984,59.9896,3.85,5.774,2062,0.018631579
4E,Bow,3,0%,18°C,1,Hg50,1.312,2.104,1.486,0.618,0.792,0.204,0.1512,0.0528,1.9,1.3348,0.5652,0.349206349,0.423434222,35.00,126.4066,38.4669,0.9687,0.932,934,0.022628571
4E,B285,2,0%,18°C,1,Hg50,1.313,2.268,1.402,0.866,0.955,0.1848,0.1616,0.0232,2.0832,1.2404,0.8428,0.143564356,0.679458239,40.00,101.0345,67.5427,2.1279,3.593,2584,0.023875
3E,B290,4,0%,18°C,1,Hg50,1.318,2.546,1.686,0.86,1.228,0.2375,0.1775,0.06,2.3085,1.5085,0.8,0.338028169,0.530328141,48.67,248.2973,82.637,1.0594,2.189,2625,0.025232877
3E,Bow,5,0%,18°C,1,Hg50,1.335,3.102,2.02,1.082,1.767,0.2552,0.1902,0.065,2.8468,1.8298,1.017,0.341745531,0.555798448,48.67,315.472,112.5255,1.1354,3.194,3965,0.036308219
4E,B290,4,0%,18°C,1,Hg50,1.35,2.1,1.48,0.62,0.75,0.2541,0.1903,0.0638,1.8459,1.2897,0.5562,0.335260116,0.431263084,44.00,79.4196,57.2459,2.2944,3.284,1661,0.017045455
4E,B289,4,0%,18°C,1,Hg50,1.37,2.122,1.454,0.668,0.752,0.2387,0.1755,0.0632,1.8833,1.2785,0.6048,0.36011396,0.473054361,42.00,119.3156,63.9786,1.7068,2.73,2477,0.017904762
4E,B284,3,0%,18°C,1,Hg50,1.394,2.123,1.389,0.734,0.729,0.2226,0.1612,0.0614,1.9004,1.2278,0.6726,0.3808933,0.547809089,38.00,114.5414,79.6024,2.2121,4.402,2879,0.019184211
4E,B290,5,0%,18°C,1,Hg50,1.402,2.464,1.671,0.793,1.062,0.2855,0.2111,0.0744,2.1785,1.4599,0.7186,0.352439602,0.492225495,48.00,105.6369,74.8198,2.2545,4.217,2425,0.022125
4E,Ant,3,0%,18°C,1,Hg50,1.463,2.499,1.65,0.849,1.036,0.2553,0.1857,0.0696,2.2437,1.4643,0.7794,0.374798061,0.532267978,45.00,77.298,70.4254,2.9001,5.106,2057,0.023022222
4E,B284,4,0%,18°C,1,Hg50,1.469,2.808,1.91,0.898,1.339,0.2992,0.222,0.0772,2.5088,1.688,0.8208,0.347747748,0.486255924,48.00,64.1465,97.2913,4.8278,11.743,3378,0.027895833
4E,B289,1,0%,18°C,1,Hg50,1.502,2.481,1.004,1.477,0.979,0.262,0.196,0.066,2.219,0.808,1.411,0.336734694,1.746287129,47.50,146.7283,86.5575,1.8778,4.063,3358,0.020610526
4E,B290,3,0%,18°C,1,Hg50,1.542,1.838,1.431,0.407,0.296,0.2283,0.186,0.0423,1.6097,1.245,0.3647,0.227419355,0.292931727,26.00,38.7835,30.1875,2.4776,1.87,849,0.011384615
3E,B290,3,0%,18°C,1,Hg50,1.566,2.48,1.72,0.76,0.914,0.2311,0.1751,0.056,2.2489,1.5449,0.704,0.319817247,0.455692925,48.67,368.1435,88.2976,0.7635,1.685,3269,0.018780822
3E,B290,2,0%,18°C,1,Hg50,1.593,2.711,1.769,0.942,1.118,0.2433,0.1869,0.0564,2.4677,1.5821,0.8856,0.30176565,0.559762341,48.67,320.6517,81.3391,0.8075,1.642,2744,0.022972603
4E,B284,5,0%,18°C,1,Hg50,2.01,1.508,1.061,0.447,-0.502,0.1837,0.1385,0.0452,1.3243,0.9225,0.4018,0.326353791,0.435555556,28.00,90.6713,47.9596,1.6837,2.019,2259,-0.017928571
4E,B284,5,0%,18°C,1,Hg50,2.01,1.508,1.061,0.447,-0.502,0.1837,0.1385,0.0452,1.3243,0.9225,0.4018,0.326353791,0.435555556,28.00,90.6713,47.9596,1.6837,2.019,2259,-0.017928571
3E,B285,1,15%,18°C,1,Hg50,0.241,0.26,0.188,0.072,0.019,0.0295,0.0236,0.0059,0.2305,0.1644,0.0661,0.25,0.402068127,2.67,80.099,18.6724,0.742,0.346,835,0.007125
1E,B290,5,15%,18°C,3,Hg50,0.302,0.273,0.271,0.002,-0.029,0.0519,0.0429,0.009,0.2211,0.2281,-0.007,0.20979021,-0.030688295,2.67,51.2639,12.5399,0.7786,0.244,346,-0.010875
1E,Ant,3,15%,18°C,3,Hg50,0.318,0.48,0.318,0.162,0.162,0.0628,0.0456,0.0172,0.4172,0.2724,0.1448,0.377192982,0.531571219,5.67,59.1,16.8477,0.9074,0.382,602,0.028588235
